clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
6,16169,0,0,1,0,0,0,0,0,1,0,0,0,1.5587168580464734,-0.6767485154687445,-0.1987163429511016,1.5261567262414721,1.5308268677019852,1.4334826146590063
3,4715,0,0,0,1,0,0,0,0,0,0,0,1,0.8411735509186904,-1.032234749601435,0.7063740742900388,1.0352349122770284,1.048275668772227,0.9013236369915246
4,2810,0,0,0,0,1,0,0,1,0,0,0,0,-0.21403719485746098,-1.3166237369075864,1.158919282910609,0.026613730859170022,0.08317327091270957,-0.09108094298296776
4,17765,0,0,0,1,0,0,0,0,1,0,0,0,1.9385927265258878,-1.672109971040277,1.158919282910609,1.8921166239240579,1.8203575870598403,1.6060747155241355
2,18026,1,0,0,0,0,0,0,0,0,1,0,0,3.204845621457269,0.1764184464497148,2.0640097001517494,2.4365935448664415,2.2502668370154435,2.3827391694172166
6,548,0,0,0,0,1,0,0,1,0,0,0,0,-1.1637268660559972,1.7405578766335552,0.2538288656694686,-1.5889653296419999,-1.5224061727990321,-1.4142870496156243
5,729,0,0,0,0,1,1,0,0,0,0,0,0,-1.058205791478382,-1.9564989583464283,0.7063740742900388,-1.1962278784704443,-1.162686188142303,-1.3567563493272479
1,9704,0,0,1,0,0,0,0,0,1,0,0,0,1.5798210729619964,-0.7478457622952785,-1.1038067601922419,1.6064893867083812,1.5483741840267033,1.4766306398752889
2,6040,0,0,1,0,0,1,0,0,0,0,0,0,0.461297682439276,-0.392359528162588,-0.6512615515716718,0.6871267169204222,0.714876658602575,0.6568181607659251
3,1063,0,0,0,1,0,0,0,0,1,0,0,0,-0.7627467826610596,-0.8189430091218177,0.2538288656694686,-0.6963802133430107,-0.741550596349059,-0.795832021515578
2,475,0,0,1,0,0,0,0,1,0,0,0,0,-1.058205791478382,0.10532119962317568,-0.6512615515716718,-1.2944122412633334,-1.2416491116035362,-1.2560776238225895
